utasazon;nev;szuldatum;telefon
477;"Hegyi Attila";1968.6.6;"(30) 4759769"
478;"Kaló Andrea";1966.5.29;"(70) 1599258"
479;"Hegyi Géza";1959.9.28;"(30) 1391427"
480;"Hegyi Attila";1954.2.8;"(30) 1773975"
481;"Hegyi Katalin";1947.9.9;"(20) 4339535"
482;"Kaló Mariann";1944.11.23;"(30) 2224249"
483;"Abonyi Lehel";1969.8.18;"(30) 2789281"
484;"Kuhárszky Zita";1960.8.1;"(20) 3940026"
485;"Solymos Alajos";1961.8.24;"(70) 2554902"
486;"Nagy Mariann";1974.11.5;"(20) 4500284"
487;"Szûcs Katalin";1959.9.27;"(20) 1895690"
488;"Kovács Katalin";1940.5.27;"(70) 3106499"
489;"Zsengellér János";1949.9.19;"(70) 1543465"
490;"Varga Gabriella";1942.12.19;"(30) 3411736"
491;"Zsikla Zsolt";1951.6.20;"(30) 4721758"
492;"Kertész Edina";1956.2.13;"(30) 3102993"
493;"Illés János";1971.1.11;"(20) 4870482"
494;"Zoltai József";1966.3.21;"(70) 2192502"
495;"Koltai Tibor";1937.8.26;"(30) 3076641"
496;"Verpeléti Andrea";1950.12.28;"(30) 1784327"
497;"Antal Szonja";1954.7.19;"(20) 3815963"
498;"Abonyi Lajos";1974.9.8;"(70) 2177432"
499;"Tolnai Klaudia";1929.9.13;"(70) 2057324"
500;"Zsengellér Zsófia";1939.8.24;"(30) 4954567"
501;"Hertelendi József";1970.2.25;"(20) 3579246"
502;"Kaló Brigitta";1931.9.22;"(30) 1506901"
503;"Kaló Etelka";1953.4.12;"(30) 1710326"
504;"Vörös Sára";1923.10.5;"(30) 3324056"
505;"Csikós Tibor";1931.7.23;"(30) 2897038"
506;"Szabó László";1943.11.19;"(30) 1962870"
507;"Bethlen Barbara";1939.12.1;"(30) 3826674"
508;"Cseszneki László";1947.4.21;"(70) 1446511"
509;"Fekete Brigitta";1966.8.8;"(30) 1253457"
510;"Hertelendi Dénes";1970.8.4;"(30) 2099433"
511;"Nagy Attila";1937.1.7;"(30) 3720118"
512;"Baranyai Roland";1972.1.19;"(20) 1060940"
513;"Zoltai Kitti";1958.12.9;"(20) 1239512"
514;"Koltai József";1948.12.1;"(30) 3004937"
515;"Tóth Tibor";1929.10.17;"(20) 3911116"
516;"Vörös Klaudia";1948.10.4;"(20) 3394543"
517;"Vállas Zsuzsanna";1938.4.16;"(20) 3908697"
518;"Szekeres Miklós";1926.9.9;"(70) 4239166"
519;"Fekete Ferenc";1970.7.26;"(30) 1545906"
520;"Kaló Pál";1967.10.10;"(30) 2880089"
521;"Kovács Sára";1964.8.24;"(20) 2828945"
522;"Baranyai Bernadett";1970.3.17;"(30) 4427608"
523;"Kiss Bernadett";1949.8.9;"(30) 2536499"
524;"Baranyai Andrea";1960.11.24;"(30) 4651743"
525;"Varga Judit";1926.10.8;"(70) 2745788"
526;"Antal Roland";1975.7.21;"(20) 3480363"
527;"Szekeres Ilona";1969.10.2;"(70) 4563563"
528;"Gelencsér Dániel";1927.5.30;"(70) 4385429"
529;"Baranyai Lajos";1962.12.15;"(70) 4600616"
530;"Lengyel Péter";1978.5.9;"(20) 1706944"
531;"Kaló Lajos";1961.3.5;"(70) 4642577"
532;"Koltai Nikolett";1921.12.21;"(20) 1636769"
533;"Szekeres Lajos";1963.8.18;"(30) 3585955"
534;"Filkor Edina";1943.3.27;"(30) 1256703"
535;"Darázs Andrea";1972.2.28;"(20) 4971141"
536;"Koller József";1931.10.11;"(30) 1767173"
537;"Bethlen Edina";1939.3.3;"(20) 2074185"
538;"Kalas Katalin";1935.6.16;"(20) 1756925"
539;"Tóth Dénes";1953.8.9;"(20) 3924851"
540;"Hegyi Zsolt";1921.6.29;"(30) 3868012"
541;"Szekeres Pál";1929.9.28;"(30) 1189241"
542;"Horkai Lajos";1962.6.5;"(30) 3159591"
543;"Tóth Dániel";1931.12.29;"(70) 3984747"
544;"Braun Mátyás";1937.7.15;"(70) 4720586"
545;"Kalas Zsuzsanna";1920.2.16;"(20) 2196618"
546;"Filkor Bálint";1926.9.20;"(70) 3968629"
547;"Kaló Enikõ";1973.3.30;"(30) 1301252"
548;"Antal Gabriella";1926.6.26;"(70) 2321384"
549;"Darázs Edina";1971.11.20;"(30) 2934412"
550;"Nyúzó Etelka";1949.5.6;"(20) 1568825"
551;"Solymos Zsuzsanna";1947.5.11;"(30) 2688879"
552;"Balajti László";1952.11.28;"(30) 4458930"
553;"Filkor Andrea";1956.5.4;"(30) 4937626"
554;"Lengyel Ilona";1979.2.20;"(30) 4017107"
555;"Cseszneki Sándor";1927.9.3;"(30) 1154789"
556;"Kisteleki Zsófia";1961.10.14;"(30) 2887151"
557;"Szûcs Miklós";1923.2.2;"(30) 4439971"
558;"Kuhárszky Kitti";1971.11.30;"(30) 2207388"
559;"Fekete Attila";1920.2.13;"(70) 1802341"
560;"Kalányos Zoltán";1944.10.26;"(20) 4773794"
561;"Szekeres Helga";1955.4.13;"(30) 2635274"
562;"Hegyi Bernadett";1946.4.11;"(20) 3856498"
563;"Csikós Mariann";1961.4.16;"(70) 4541553"
564;"Kovács Brigitta";1961.3.26;"(20) 4063414"
565;"Horkai Mariann";1962.2.23;"(20) 3489686"
566;"Csikós Dávid";1927.5.8;"(70) 2401467"
567;"Molnár Lajos";1964.2.18;"(30) 1678948"
568;"Major Zoltán";1927.9.23;"(30) 2734140"
569;"Szekeres Anikó";1959.11.5;"(30) 1218200"
570;"Kiss Géza";1941.11.19;"(70) 3337142"
571;"Illés Miklós";1979.8.27;"(30) 3304487"
572;"Zsengellér Miklós";1975.12.4;"(20) 4385481"
573;"Zsikla Etelka";1924.7.29;"(20) 4082715"
574;"Kertész Judit";1922.5.25;"(30) 1935792"
575;"Filkor Dénes";1979.7.8;"(70) 3804355"
576;"Tóth Klaudia";1927.8.12;"(20) 4258896"
577;"Nagy Mariann";1942.11.22;"(30) 1560948"
578;"Császár Bernadett";1967.11.10;"(20) 1387992"
579;"Solymos Georgina";1925.9.11;"(30) 3110684"
580;"Szûcs Barbara";1971.2.18;"(70) 2740617"
581;"Zsikla János";1966.2.25;"(70) 2009944"
582;"Eszes Miklós";1956.5.7;"(30) 2467597"
583;"Latorczai Géza";1920.2.29;"(30) 2832113"
584;"Darázs Mátyás";1925.3.26;"(30) 4225742"
585;"Kelemen Zoltán";1933.12.22;"(70) 2227204"
586;"Kalas Dénes";1950.4.16;"(30) 3344045"
587;"Megyeri Enikõ";1978.4.28;"(30) 2657240"
588;"Kisteleki Kitti";1972.6.28;"(70) 2542611"
589;"Tolnai Zsófia";1969.10.18;"(30) 3376973"
590;"Abonyi Mátyás";1939.7.20;"(30) 4101515"
591;"Kuhárszky Sára";1958.2.9;"(70) 2729287"
592;"Latorczai Brigitta";1967.1.12;"(70) 1417319"
593;"Szekeres Sándor";1956.12.5;"(20) 3597149"
594;"Tóth Miklós";1939.7.7;"(20) 3769249"
595;"Latorczai András";1973.2.25;"(30) 4325431"
596;"Filkor Brigitta";1940.4.16;"(70) 4434728"
597;"Szûcs János";1924.9.15;"(30) 2437084"
598;"Solymos Klaudia";1950.1.24;"(70) 3328889"
599;"Horkai Pál";1956.1.3;"(20) 3195126"
600;"Kiss Dániel";1961.7.8;"(20) 3259427"
601;"Koller Klaudia";1976.1.23;"(30) 3667763"
602;"Varga Lehel";1973.4.18;"(30) 1349592"
603;"Hegyi Mátyás";1959.6.2;"(20) 1186819"
604;"Balajti Sára";1953.8.30;"(30) 2577165"
605;"Nagy József";1978.11.18;"(30) 3150715"
606;"Zsengellér Judit";1950.5.19;"(20) 4474805"
607;"Verpeléti Mariann";1977.3.1;"(30) 1240937"
608;"Cseszneki Sándor";1961.11.25;"(70) 1460560"
609;"Szabó Zsuzsanna";1973.5.18;"(70) 3164508"
610;"Antal Etelka";1922.5.14;"(30) 1256198"
611;"Latorczai Zsófia";1946.6.13;"(30) 3442420"
612;"Bethlen Sándor";1963.7.26;"(20) 3440398"
613;"Kalányos Bálint";1921.10.4;"(20) 2914385"
614;"Magyar Mariann";1979.5.12;"(20) 4961475"
615;"Tolnai Judit";1973.12.29;"(20) 1483880"
616;"Császár Brigitta";1970.11.6;"(30) 1818161"
617;"Zsikla Tibor";1956.3.19;"(20) 1450143"
618;"Józsa Miklós";1965.11.19;"(70) 2867485"
619;"Filkor Helga";1925.5.24;"(20) 3450706"
620;"Kovács Lehel";1956.7.2;"(30) 1025615"
621;"Baranyai János";1960.1.13;"(30) 2700426"
622;"Kertész Andrea";1944.2.17;"(70) 1333474"
623;"Fekete Dániel";1920.1.18;"(70) 1081729"
624;"Magyar Alajos";1972.1.10;"(30) 4282555"
625;"Kiss Sándor";1938.3.1;"(30) 1450024"
626;"Halmos József";1976.8.30;"(70) 4308619"
627;"Horkai János";1962.6.12;"(30) 4116689"
628;"Braun Enikõ";1976.7.2;"(30) 4572090"
629;"Józsa Barbara";1973.2.9;"(70) 3448302"
630;"Zsolnai Dávid";1924.12.29;"(30) 1786412"
631;"Halmos Etelka";1920.4.27;"(30) 2898519"
632;"Császár László";1939.3.21;"(70) 4585121"
633;"Kalas Brigitta";1976.5.16;"(70) 4128881"
634;"Verpeléti Enikõ";1936.11.12;"(30) 4785408"
635;"Bethlen Alajos";1924.1.14;"(20) 4809633"
636;"Kaló Sára";1934.9.24;"(70) 1750792"
637;"Major László";1963.11.12;"(30) 2194651"
638;"Filkor Zita";1945.11.4;"(20) 1643334"
639;"Zsikla Roland";1954.8.9;"(30) 3018810"
640;"Antal Roland";1973.2.18;"(20) 1218381"
641;"Csikós Géza";1946.8.17;"(30) 1231853"
642;"Eszes Gabriella";1963.7.14;"(70) 3504890"
643;"Braun Bernadett";1948.10.28;"(20) 4308345"
644;"Eszes Barbara";1933.8.17;"(20) 2164144"
645;"Kelemen Péter";1952.11.14;"(20) 4680071"
646;"Nagy Bálint";1927.8.1;"(30) 1378807"
647;"Lengyel Pál";1921.11.8;"(30) 2188390"
648;"Darázs Mátyás";1930.3.7;"(30) 2409235"
649;"Vörös Ilona";1965.9.1;"(30) 3418405"
650;"Major Péter";1976.4.19;"(30) 1584160"
651;"Braun Klaudia";1952.9.2;"(70) 4884126"
652;"Tolnai László";1959.11.17;"(30) 2630697"
653;"Kiss András";1964.11.8;"(30) 4463960"
654;"Turai Kitti";1938.8.15;"(30) 4366198"
655;"Horkai Bálint";1942.8.23;"(30) 3222651"
656;"Kelemen Nikolett";1978.5.11;"(70) 3628746"
657;"Gelencsér Georgina";1978.9.20;"(20) 2188809"
658;"Békési Andrea";1953.7.29;"(30) 2832356"
659;"Braun Helga";1936.9.14;"(30) 3454813"
660;"Nyúzó Dániel";1932.3.25;"(30) 4341864"
661;"Tóth András";1964.11.27;"(30) 3471763"
662;"Balajti Dávid";1962.8.12;"(30) 2297266"
663;"Magyar Klaudia";1927.11.19;"(30) 2342514"
664;"Eszes Helga";1928.1.4;"(20) 4425471"
665;"Koltai Miklós";1921.6.21;"(20) 4405413"
666;"Eszes Sára";1938.6.23;"(70) 1191614"
667;"Fekete Zita";1937.11.23;"(30) 3783893"
668;"Zoltai Tibor";1933.11.9;"(30) 2938266"
669;"Kalas Mátyás";1927.8.24;"(30) 2247345"
670;"Józsa Roland";1941.7.4;"(30) 2981881"
671;"Kalas Szonja";1950.12.10;"(20) 4642488"
672;"Szekeres Georgina";1954.7.4;"(70) 1088924"
673;"Bethlen Ilona";1970.8.8;"(20) 2299500"
674;"Turai Bernadett";1969.11.16;"(30) 3785339"
675;"Megyeri László";1920.9.18;"(30) 1662293"
676;"Csikós András";1954.2.6;"(30) 1906843"
677;"Békési Dénes";1971.9.3;"(30) 4233347"
678;"Nyúzó Katalin";1965.1.3;"(30) 4110073"
679;"Kovács Dániel";1954.4.7;"(30) 1768085"
680;"Tolnai András";1956.4.14;"(30) 1734643"
681;"Abonyi Zita";1933.3.13;"(20) 3253761"
682;"Kovács Pál";1925.9.24;"(20) 1465578"
683;"Vállas János";1968.6.17;"(70) 4924560"
684;"Turai Helga";1951.12.14;"(70) 4965640"
685;"Nagy Szonja";1965.6.4;"(30) 2107085"
686;"Hertelendi Zoltán";1969.9.19;"(20) 1602848"
687;"Abonyi Brigitta";1970.7.7;"(20) 4179724"
688;"Vörös Ilona";1959.3.28;"(20) 3529842"
689;"Szûcs Szonja";1920.5.11;"(20) 4475433"
690;"Molnár Brigitta";1921.1.5;"(30) 2919503"
691;"Latorczai László";1962.10.1;"(20) 2335948"
692;"Kuhárszky Zoltán";1955.12.24;"(20) 1877446"
693;"Vörös Anikó";1941.10.15;"(30) 3177989"
694;"Kiss Georgina";1930.3.14;"(30) 1745386"
695;"Kalas Ilona";1945.5.11;"(20) 1633191"
696;"Vállas Zsolt";1924.7.22;"(70) 3500071"
697;"Szûcs Zoltán";1920.3.7;"(70) 4143356"
698;"Zsengellér Zita";1956.8.15;"(30) 2164650"
699;"Zsikla Alajos";1928.11.26;"(30) 2834051"
700;"Antal Judit";1949.9.11;"(30) 2314921"
701;"Szûcs Zita";1920.9.10;"(30) 1014391"
702;"Magyar Katalin";1959.2.15;"(20) 4635802"
703;"Szabó Georgina";1959.10.12;"(20) 1244691"
704;"Kuhárszky Dávid";1955.1.24;"(30) 2121746"
705;"Kaló András";1966.10.19;"(30) 2268236"
706;"Császár Kitti";1929.7.21;"(30) 3619943"
707;"Major Zsófia";1953.6.27;"(20) 3394621"
708;"Varga Brigitta";1979.1.2;"(30) 2640762"
709;"Vállas Tibor";1939.2.10;"(70) 2721100"
710;"Gelencsér László";1968.9.14;"(30) 3788448"
711;"Kalányos Zsófia";1922.7.30;"(70) 4895909"
712;"Kaló Zsolt";1964.1.6;"(20) 2680041"
713;"Kertész Géza";1975.11.8;"(20) 2878243"
714;"Kiss József";1945.8.27;"(70) 2850931"
715;"Kelemen Anikó";1943.10.3;"(30) 3085575"
716;"Kaló Georgina";1942.6.15;"(20) 2900684"
717;"Hegyi Georgina";1941.1.5;"(20) 4499108"
718;"Lengyel Helga";1925.7.29;"(20) 4520679"
719;"Kovács Kitti";1947.4.1;"(70) 3903482"
720;"Varga Lajos";1970.10.13;"(20) 3483262"
721;"Magyar Edina";1932.4.8;"(20) 4221947"
722;"Békési Etelka";1956.8.14;"(70) 4227980"
723;"Hegyi Edina";1942.10.5;"(20) 3428393"
724;"Kiss Kitti";1933.11.2;"(20) 4736152"
725;"Zsikla Sára";1977.2.2;"(20) 2234585"
726;"Zsikla Zsolt";1946.5.20;"(70) 1532584"
727;"Balajti József";1971.12.27;"(30) 4921313"
728;"Darázs Mariann";1927.3.2;"(30) 1794221"
729;"Major Anikó";1922.9.22;"(30) 1797419"
730;"Nagy Katalin";1977.2.12;"(20) 2145130"
731;"Békési Géza";1956.2.12;"(30) 1796277"
732;"Bethlen Géza";1930.2.20;"(20) 1373419"
733;"Cseszneki László";1972.9.13;"(20) 1837086"
734;"Verpeléti Attila";1970.9.4;"(20) 1893032"
735;"Bethlen Lehel";1947.9.29;"(70) 3012977"
736;"Csikós Katalin";1964.10.4;"(20) 3229237"
737;"Illés Helga";1921.11.2;"(70) 3478416"
738;"Szabó Edina";1921.7.4;"(30) 2799525"
739;"Filkor Dániel";1941.12.19;"(30) 4754116"
740;"Nagy Zsófia";1952.2.10;"(20) 2146114"
741;"Darázs Pál";1939.1.25;"(30) 4263907"
742;"Nagy Dávid";1945.2.17;"(30) 1873556"
743;"Csikós Zoltán";1975.4.8;"(30) 3749158"
744;"Lengyel Zsolt";1959.6.2;"(70) 4924764"
745;"Nyúzó Lehel";1933.8.27;"(20) 4555934"
746;"Tolnai Enikõ";1966.8.10;"(70) 1174672"
747;"Nyúzó Barbara";1923.9.18;"(20) 3445059"
748;"Koller Zita";1957.7.29;"(20) 4438082"
749;"Zsikla Klaudia";1965.4.2;"(30) 4870486"
750;"Csikós Miklós";1922.6.20;"(30) 2749095"
751;"Csutor Zsuzsanna";1955.11.20;"(30) 1512904"
752;"Kiss Alajos";1955.4.25;"(20) 4520242"
753;"Balajti Zsófia";1927.6.9;"(20) 2231737"
754;"Magyar Roland";1927.10.18;"(30) 1497192"
755;"Eszes Andrea";1920.6.13;"(20) 2436935"
756;"Vállas Lehel";1956.6.7;"(20) 4186932"
757;"Verpeléti Géza";1949.6.28;"(20) 1589021"
758;"Antal Pál";1928.1.19;"(30) 3686037"
759;"Kalányos Anikó";1973.9.22;"(70) 3123688"
760;"Császár József";1946.2.15;"(20) 3259362"
761;"Fekete Dániel";1934.8.23;"(20) 4599170"
762;"Verpeléti Bálint";1939.12.20;"(70) 2225290"
763;"Braun Sára";1979.12.20;"(20) 4927178"
764;"Kiss Katalin";1934.5.4;"(30) 3717477"
765;"Zoltai Mátyás";1927.5.7;"(20) 3250789"
766;"Kisteleki Péter";1956.5.1;"(30) 1763462"
767;"Csikós Kitti";1953.11.3;"(30) 1776362"
768;"Molnár Enikõ";1933.9.13;"(30) 1246344"
769;"Tóth Sándor";1957.9.10;"(30) 1562222"
770;"Koltai János";1940.11.3;"(30) 2606742"
771;"Baranyai Mátyás";1922.8.30;"(70) 2631383"
772;"Hertelendi Anikó";1974.3.27;"(30) 1142402"
773;"Antal Georgina";1922.8.4;"(20) 2994655"
774;"Vörös Georgina";1961.4.4;"(30) 4271292"
775;"Abonyi Ferenc";1936.12.12;"(20) 3234614"
776;"Horkai Zita";1932.1.4;"(30) 1845773"
777;"Koller Etelka";1937.3.13;"(70) 3999296"
778;"Lengyel Lehel";1971.2.22;"(20) 3598889"
779;"Kaló Gabriella";1948.11.23;"(30) 4816618"
780;"Fekete Zsuzsanna";1932.12.24;"(20) 2302371"
781;"Horkai József";1931.8.28;"(30) 1480866"
782;"Kuhárszky Mátyás";1945.1.28;"(20) 1403822"
783;"Hegyi Lehel";1943.8.3;"(30) 2500856"
784;"Csikós Andrea";1936.1.4;"(20) 1980198"
785;"Halmos Nikolett";1967.2.9;"(30) 3901236"
786;"Tóth János";1966.2.12;"(30) 4604015"
787;"Kiss Anikó";1954.3.5;"(30) 4965454"
788;"Csutor Tibor";1977.8.7;"(20) 2929306"
789;"Tolnai Szonja";1956.3.26;"(20) 2127738"
790;"Antal Roland";1967.3.13;"(30) 1612202"
791;"Balajti András";1979.11.17;"(30) 4138622"
792;"Zsikla Bernadett";1952.4.24;"(30) 1349405"
793;"Major Attila";1940.2.29;"(70) 1130183"
794;"Lengyel Klaudia";1945.6.5;"(30) 4233387"
795;"Eszes Helga";1951.3.6;"(20) 2563176"
796;"Zoltai Gabriella";1959.11.26;"(30) 3183115"
797;"Halmos Géza";1958.4.6;"(20) 3438785"
798;"Illés Brigitta";1969.6.6;"(20) 4423032"
799;"Bethlen Roland";1974.3.10;"(30) 1277073"
800;"Nagy Attila";1945.12.12;"(20) 2928283"
801;"Baranyai Lajos";1934.4.21;"(30) 3338207"
802;"Abonyi Mátyás";1931.1.5;"(20) 4898771"
803;"Koller Katalin";1937.8.16;"(70) 2501936"
804;"Kuhárszky Lehel";1932.6.4;"(30) 4945495"
805;"Kaló Péter";1954.11.1;"(70) 3515168"
806;"Hegyi Helga";1920.10.22;"(30) 1303544"
807;"Kovács Dénes";1968.4.3;"(70) 3945485"
808;"Szabó Lehel";1920.8.10;"(30) 3682101"
809;"Magyar Zsolt";1955.12.2;"(20) 1931112"
810;"Darázs Dániel";1959.6.22;"(30) 3294195"
811;"Abonyi Zsolt";1932.8.23;"(30) 1109081"
812;"Illés Szonja";1945.4.8;"(30) 2090934"
813;"Major Edina";1975.4.29;"(30) 3466553"
814;"Braun Ilona";1966.4.15;"(20) 3346408"
815;"Magyar Mátyás";1959.12.17;"(20) 2096663"
816;"Kalas János";1928.10.25;"(30) 4060931"
817;"Abonyi Judit";1949.1.20;"(20) 1495058"
818;"Latorczai Enikõ";1952.10.22;"(70) 2009252"
819;"Kovács Dénes";1953.11.29;"(30) 4360111"
820;"Darázs Dénes";1929.1.7;"(20) 3298859"
821;"Baranyai Lajos";1921.12.16;"(30) 2534274"
822;"Kisteleki Nikolett";1946.8.19;"(70) 2142329"
823;"Eszes Bernadett";1920.8.7;"(30) 3701430"
824;"Major Etelka";1927.3.23;"(20) 2862805"
825;"Abonyi Edina";1934.3.4;"(20) 1907654"
826;"Kiss Alajos";1968.7.3;"(20) 3127481"
827;"Filkor Miklós";1939.3.7;"(70) 3158191"
828;"Koltai Bálint";1922.1.21;"(20) 2655182"
829;"Szabó Tibor";1972.12.7;"(20) 1283683"
830;"Tolnai Zsuzsanna";1933.4.27;"(70) 2145403"
831;"Fekete Dávid";1948.8.28;"(30) 1998097"
832;"Koller János";1938.5.25;"(30) 3687511"
833;"Solymos Sándor";1953.7.5;"(20) 3815010"
834;"Kalányos Zita";1965.6.5;"(30) 3799024"
835;"Fekete Anikó";1957.5.26;"(20) 3727820"
836;"Zsolnai Edina";1933.8.12;"(30) 2533124"
837;"Halmos Dénes";1979.1.29;"(30) 4213543"
838;"Megyeri Brigitta";1979.3.20;"(70) 3670340"
839;"Baranyai Andrea";1944.1.26;"(70) 4626924"
840;"Abonyi Péter";1952.9.28;"(20) 1757738"
841;"Kiss Gabriella";1933.12.29;"(30) 2087606"
842;"Tolnai József";1961.12.25;"(20) 2522961"
843;"Bethlen Roland";1932.11.18;"(70) 3563483"
844;"Varga Klaudia";1950.6.3;"(30) 3616180"
845;"Zsengellér Roland";1962.9.9;"(30) 1426891"
846;"Verpeléti Ferenc";1920.6.24;"(20) 3751307"
847;"Józsa Enikõ";1962.11.6;"(30) 1968867"
848;"Kisteleki Sára";1928.2.6;"(70) 2411394"
849;"Kalányos Zita";1928.8.18;"(70) 3048754"
850;"Kertész Roland";1925.11.10;"(20) 4404332"
851;"Vörös Klaudia";1979.4.24;"(20) 1747064"
852;"Kaló Zita";1923.11.18;"(70) 4333666"
853;"Varga József";1937.1.17;"(20) 1251591"
854;"Varga Enikõ";1954.9.28;"(20) 1087550"
855;"Major Mátyás";1924.7.18;"(20) 2590507"
856;"Horkai László";1941.7.13;"(30) 1176204"
857;"Balajti Tibor";1928.8.18;"(30) 1883182"
858;"Csikós Etelka";1954.5.5;"(20) 1593756"
859;"Filkor Tibor";1979.8.29;"(20) 1779202"
860;"Balajti Mátyás";1938.8.10;"(30) 2223995"
861;"Kelemen János";1934.5.13;"(30) 2783286"
862;"Turai Miklós";1953.5.22;"(30) 3034384"
863;"Kuhárszky Nikolett";1978.4.8;"(20) 3719542"
864;"Baranyai Zsófia";1930.11.27;"(30) 1009427"
865;"Megyeri Mátyás";1931.10.11;"(20) 1254584"
866;"Tóth Katalin";1947.12.19;"(30) 2085924"
867;"Szabó Sára";1958.9.24;"(20) 1028876"
868;"Illés Helga";1947.2.10;"(20) 3256826"
869;"Bethlen Miklós";1965.5.9;"(30) 2086949"
870;"Nyúzó Roland";1922.10.10;"(30) 2513342"
871;"Zsikla Dénes";1959.2.8;"(70) 1876456"
872;"Darázs Edina";1950.5.12;"(30) 3513537"
873;"Koller Mariann";1930.1.24;"(70) 3916214"
874;"Szûcs Sándor";1951.12.22;"(30) 4460823"
875;"Kisteleki Szonja";1936.3.15;"(20) 3627925"
876;"Antal Ferenc";1926.6.11;"(30) 2843862"
877;"Koltai Mariann";1971.3.5;"(70) 1624399"
878;"Kalas Attila";1971.9.15;"(30) 2995276"
879;"Illés Ferenc";1931.12.24;"(30) 4981411"
880;"Nyúzó Enikõ";1971.5.9;"(70) 1661610"
881;"Magyar Dávid";1949.3.2;"(30) 2568293"
882;"Tóth Ilona";1968.3.19;"(30) 4367696"
883;"Cseszneki Klaudia";1928.7.11;"(30) 1303327"
884;"Major Dávid";1965.3.8;"(30) 1372851"
885;"Magyar Bernadett";1960.7.25;"(70) 3376760"
886;"Nyúzó Etelka";1922.5.20;"(70) 1262933"
887;"Csikós Zsolt";1952.2.14;"(30) 3594449"
888;"Vörös Gabriella";1923.1.25;"(70) 4674964"
889;"Latorczai Nikolett";1969.3.9;"(70) 3573321"
890;"Szabó Tibor";1937.2.9;"(30) 1145158"
891;"Nagy Sára";1971.7.7;"(70) 3644057"
892;"Filkor Andrea";1961.4.17;"(70) 2488352"
893;"Kovács Kitti";1932.12.11;"(30) 3093519"
894;"Zsolnai Nikolett";1966.11.4;"(30) 4766646"
895;"Zsikla Roland";1959.8.13;"(30) 2432786"
896;"Csutor Mátyás";1979.12.16;"(20) 4077326"
897;"Solymos Klaudia";1964.12.19;"(30) 2230874"
898;"Szekeres Zoltán";1932.1.26;"(30) 1048549"
899;"Koltai Géza";1976.10.6;"(30) 1981527"
900;"Csutor András";1928.1.15;"(70) 2967155"
901;"Koller Alajos";1921.2.20;"(30) 1844391"
902;"Kalányos Kitti";1932.11.20;"(70) 4036164"
903;"Fekete Anikó";1928.3.28;"(30) 2006010"
904;"Molnár Ilona";1956.9.17;"(30) 4232582"
905;"Szekeres Lajos";1931.5.26;"(30) 4745937"
906;"Fekete Etelka";1953.3.2;"(20) 3056995"
907;"Molnár Attila";1953.11.10;"(20) 1064090"
908;"Gelencsér Zoltán";1964.1.27;"(70) 2905543"
909;"Hertelendi Ferenc";1969.7.19;"(20) 2304219"
910;"Vállas Mátyás";1973.1.28;"(20) 2766757"
911;"Verpeléti Nikolett";1978.4.26;"(20) 4604487"
912;"Lengyel Zsolt";1935.9.18;"(30) 2991203"
913;"Antal Zita";1969.1.19;"(30) 2301210"
914;"Zsikla Miklós";1921.2.25;"(70) 2476661"
915;"Szabó Edina";1922.8.21;"(30) 3002129"
916;"Varga Katalin";1920.8.16;"(70) 1548519"
917;"Nyúzó Bernadett";1926.5.6;"(30) 2731468"
918;"Eszes Tibor";1958.3.4;"(30) 4938428"
919;"Abonyi Dénes";1973.12.17;"(30) 3140759"
920;"Kaló Georgina";1946.7.1;"(70) 3972305"
921;"Kovács Lehel";1943.12.12;"(30) 3651658"
922;"Cseszneki Enikõ";1941.7.23;"(30) 4220327"
923;"Csutor József";1973.7.28;"(20) 2383767"
924;"Hertelendi Tibor";1934.2.27;"(30) 4801582"
925;"Békési Szonja";1920.12.10;"(20) 3152826"
926;"Filkor Helga";1972.11.16;"(30) 3563025"
927;"Verpeléti Péter";1972.4.23;"(20) 1599897"
928;"Turai Andrea";1954.3.14;"(70) 3776750"
929;"Tolnai Szonja";1944.4.13;"(30) 3249764"
930;"Braun Miklós";1927.3.15;"(20) 4301249"
931;"Kelemen Zsófia";1967.8.25;"(70) 1624608"
932;"Lengyel Zita";1956.5.17;"(30) 4703138"
933;"Szekeres Ilona";1963.11.18;"(30) 2009132"
934;"Antal Georgina";1979.10.17;"(30) 4686294"
935;"Zsolnai Edina";1939.5.11;"(30) 2610216"
936;"Latorczai Kitti";1967.12.20;"(70) 1644469"
937;"Gelencsér Dénes";1941.12.4;"(30) 4145006"
938;"Filkor Pál";1960.6.11;"(30) 1444941"
939;"Békési László";1936.2.9;"(30) 1038289"
940;"Major Zsuzsanna";1958.3.12;"(30) 3246316"
941;"Magyar Zsuzsanna";1978.3.16;"(30) 2287558"
942;"Filkor Géza";1933.6.18;"(30) 1907793"
943;"Horkai Roland";1944.12.27;"(30) 2298980"
944;"Filkor Dávid";1924.5.2;"(30) 4774613"
945;"Baranyai Zsófia";1935.11.3;"(20) 2568199"
946;"Kuhárszky Szonja";1938.10.21;"(70) 4326007"
947;"Kalas Miklós";1928.6.14;"(30) 4967628"
948;"Baranyai Brigitta";1975.7.22;"(30) 3153048"
949;"Illés László";1944.1.14;"(30) 4129455"
950;"Szûcs Gabriella";1967.8.24;"(30) 3308420"
951;"Zsengellér Szonja";1967.11.9;"(20) 1578145"
952;"Szûcs Mátyás";1946.3.19;"(30) 1691008"
953;"Baranyai Georgina";1972.2.28;"(20) 4429406"
954;"Józsa Bernadett";1966.7.24;"(20) 3741050"
955;"Solymos Barbara";1930.6.16;"(20) 3926248"
